Data,ID Canal de Venda,Situação,Opção de Compra,ID Cliente,ID Vendedor,Funcionario,Ganho,Meta
01/01/2025,1,N,A,18,7,Camila Souza,"899,14","150,00"
01/01/2025,2,N,U,13,8,Leonardo Almeida,"4.335,60","910,00"
01/01/2025,1,N,U,10,8,Leonardo Almeida,"505,82","910,00"
01/01/2025,2,N,U,18,6,Rafael Costa,"5.147,35","1.233,00"
01/01/2025,2,N,A,13,4,Pedro Henrique,"11.957,76","1.128,00"
01/01/2025,2,N,U,17,2,Lucas Gabriel,"732,00","319,00"
01/01/2025,2,N,U,8,6,Rafael Costa,"3.608,64","1.233,00"
01/01/2025,1,N,A,5,9,Gabriela Lima,"6.578,25","919,00"
01/01/2025,2,N,U,8,1,Ana Beatriz,"144,00","1.292,00"
01/01/2025,1,N,U,3,3,Mariana Oliveira,"298,56","1.472,00"
01/01/2025,1,N,A,16,6,Rafael Costa,"970,92","1.233,00"
01/01/2025,1,N,U,2,8,Leonardo Almeida,"932,10","910,00"
01/01/2025,1,N,U,10,5,Júlia Fernandes,"611,52","504,00"
02/01/2025,2,N,A,1,10,Felipe Santos,"9.766,52","1.289,00"
02/01/2025,2,N,U,14,4,Pedro Henrique,"7.367,64","1.198,00"
02/01/2025,2,N,U,3,6,Rafael Costa,"1.653,96","360,00"
02/01/2025,2,N,U,10,6,Rafael Costa,"826,98","360,00"
02/01/2025,2,N,U,1,4,Pedro Henrique,"6.691,02","1.198,00"
02/01/2025,1,N,U,2,4,Pedro Henrique,"469,26","1.198,00"
02/01/2025,2,N,A,10,2,Lucas Gabriel,"416,00","804,00"
02/01/2025,1,N,A,14,9,Gabriela Lima,"551,67","1.422,00"
02/01/2025,1,N,U,3,7,Camila Souza,"846,00","607,00"
02/01/2025,1,N,U,1,10,Felipe Santos,"501,90","1.289,00"
02/01/2025,1,N,U,11,1,Ana Beatriz,"12.164,60","393,00"
03/01/2025,1,N,U,17,4,Pedro Henrique,"2.531,70","177,00"
03/01/2025,1,N,U,17,9,Gabriela Lima,"3.468,48","525,00"
03/01/2025,1,N,U,5,5,Júlia Fernandes,"5.780,87","1.491,00"
03/01/2025,1,N,A,1,3,Mariana Oliveira,"7.126,92","312,00"
03/01/2025,2,N,A,16,4,Pedro Henrique,"1.718,31","177,00"
03/01/2025,2,N,U,4,9,Gabriela Lima,"156,42","525,00"
